experiment	assertion	expected	actual	result
E-017.1	serialized_counter_1_r0	10000	10000	pass
E-017.1	serialized_counter_1_r1	10000	10000	pass
E-017.1	serialized_counter_1_r2	10000	10000	pass
E-017.1	serialized_counter_1_r3	10000	10000	pass
E-017.1	serialized_counter_1_r4	10000	10000	pass
E-017.1	serialized_counter_1_r5	10000	10000	pass
E-017.1	serialized_counter_1_r6	10000	10000	pass
E-017.1	serialized_counter_1_r7	10000	10000	pass
E-017.1	serialized_counter_1_r8	10000	10000	pass
E-017.1	serialized_counter_1_r9	10000	10000	pass
E-017.1	serialized_counter_2_r0	20000	20000	pass
E-017.1	serialized_counter_2_r1	20000	20000	pass
E-017.1	serialized_counter_2_r2	20000	20000	pass
E-017.1	serialized_counter_2_r3	20000	20000	pass
E-017.1	serialized_counter_2_r4	20000	20000	pass
E-017.1	serialized_counter_2_r5	20000	20000	pass
E-017.1	serialized_counter_2_r6	20000	20000	pass
E-017.1	serialized_counter_2_r7	20000	20000	pass
E-017.1	serialized_counter_2_r8	20000	20000	pass
E-017.1	serialized_counter_2_r9	20000	20000	pass
E-017.1	serialized_counter_8_r0	80000	80000	pass
E-017.1	serialized_counter_8_r1	80000	80000	pass
E-017.1	serialized_counter_8_r2	80000	80000	pass
E-017.1	serialized_counter_8_r3	80000	80000	pass
E-017.1	serialized_counter_8_r4	80000	80000	pass
E-017.1	serialized_counter_8_r5	80000	80000	pass
E-017.1	serialized_counter_8_r6	80000	80000	pass
E-017.1	serialized_counter_8_r7	80000	80000	pass
E-017.1	serialized_counter_8_r8	80000	80000	pass
E-017.1	serialized_counter_8_r9	80000	80000	pass
E-017.1	serialized_counter_32_r0	320000	320000	pass
E-017.1	serialized_counter_32_r1	320000	320000	pass
E-017.1	serialized_counter_32_r2	320000	320000	pass
E-017.1	serialized_counter_32_r3	320000	320000	pass
E-017.1	serialized_counter_32_r4	320000	320000	pass
E-017.1	serialized_counter_32_r5	320000	320000	pass
E-017.1	serialized_counter_32_r6	320000	320000	pass
E-017.1	serialized_counter_32_r7	320000	320000	pass
E-017.1	serialized_counter_32_r8	320000	320000	pass
E-017.1	serialized_counter_32_r9	320000	320000	pass
E-017.1	serialized_counter_128_r0	1280000	1280000	pass
E-017.1	serialized_counter_128_r1	1280000	1280000	pass
E-017.1	serialized_counter_128_r2	1280000	1280000	pass
E-017.1	serialized_counter_128_r3	1280000	1280000	pass
E-017.1	serialized_counter_128_r4	1280000	1280000	pass
E-017.1	serialized_counter_128_r5	1280000	1280000	pass
E-017.1	serialized_counter_128_r6	1280000	1280000	pass
E-017.1	serialized_counter_128_r7	1280000	1280000	pass
E-017.1	serialized_counter_128_r8	1280000	1280000	pass
E-017.1	serialized_counter_128_r9	1280000	1280000	pass
E-017.2	serialized_gauge_commit	latest_commit	3200	pass
E-017.2	serialized_gauge_linearized	2800	2800	pass
E-017.3	serialized_histogram_atomic	count=+Inf=3200	3200/3200	pass
E-017.3	serialized_concurrent_snapshots	all_valid	samples=3940,valid=true	pass
E-017.4	serialized_descriptor_race	one_descriptor_64_results	gauge:v1/32/32	pass
E-017.1	global_mutex_counter_1_r0	10000	10000	pass
E-017.1	global_mutex_counter_1_r1	10000	10000	pass
E-017.1	global_mutex_counter_1_r2	10000	10000	pass
E-017.1	global_mutex_counter_1_r3	10000	10000	pass
E-017.1	global_mutex_counter_1_r4	10000	10000	pass
E-017.1	global_mutex_counter_1_r5	10000	10000	pass
E-017.1	global_mutex_counter_1_r6	10000	10000	pass
E-017.1	global_mutex_counter_1_r7	10000	10000	pass
